game,eta,n_train,method,sample,error
0,0.0,20,SUB,41,0.01776715287413136
0,0.0,20,SUB,42,0.02229903779629398
0,0.0,20,SUB,43,0.009121937213916494
0,0.0,20,SUB,44,0.013976775625098371
0,0.0,20,SUB,45,0.00984828739579893
0,0.0,20,SUB,46,0.016455258875939984
0,0.0,20,SUB,47,0.01649223484758351
0,0.0,20,SUB,48,0.019996846298170796
0,0.0,20,SUB,49,0.02125259469438312
0,0.0,20,VI,0,3.610189092907442e-07
0,0.0,20,VI,1,5.792965028051688e-07
0,0.0,20,VI,2,0.0002823737355587899
0,0.0,20,VI,3,0.002116732187661028
0,0.0,20,VI,4,2.75271309874598e-07
0,0.0,20,VI,5,0.0011122155738840093
0,0.0,20,VI,6,4.57823384492648e-07
0,0.0,20,VI,7,0.0011759630250127097
0,0.0,20,VI,8,5.486927626583906e-07
0,0.0,20,VI,9,4.6953490103581656e-07
0,0.0,20,VI,10,0.0011077863820939538
0,0.0,20,VI,11,0.0032432674147978347
0,0.0,20,VI,12,0.0011885375367994072
0,0.0,20,VI,13,0.007485320498480638
0,0.0,20,VI,14,0.0012304991224896757
0,0.0,20,VI,15,0.0063885664325727025
0,0.0,20,VI,16,0.0012468219591264664
0,0.0,20,VI,17,0.00011285934801937745
0,0.0,20,VI,18,0.009160700137009111
0,0.0,20,VI,19,0.0005055923664817212
0,0.0,20,VI,20,0.003039125153589438
0,0.0,20,VI,21,0.00010353072109593823
0,0.0,20,VI,22,0.00661474630479269
0,0.0,20,VI,23,0.0005205199629077921
0,0.0,20,VI,24,0.0056801661964401414
0,0.0,20,VI,25,0.00034297233522752844
0,0.0,20,VI,26,8.225689434576298e-07
0,0.0,20,VI,27,6.445972552273592e-05
0,0.0,20,VI,28,0.00014664781312240355
0,0.0,20,VI,29,6.970804973336344e-05
0,0.0,20,VI,30,0.009615767320342066
0,0.0,20,VI,31,0.0002880089163844513
0,0.0,20,VI,32,0.0004103001437358808
0,0.0,20,VI,33,0.0011080080312431348
0,0.0,20,VI,34,0.0031538577877970454
0,0.0,20,VI,35,0.00024913420751240963
0,0.0,20,VI,36,0.005747434945468859
0,0.0,20,VI,37,5.950045725031568e-07
0,0.0,20,VI,38,0.0013023142946287862
0,0.0,20,VI,39,0.006393003481542171
0,0.0,20,VI,40,0.0002471622702196017
0,0.0,20,VI,41,0.0061640066200953966
0,0.0,20,VI,42,0.0002785519061490305
0,0.0,20,VI,43,6.384963785253523e-07
0,0.0,20,VI,44,0.00037356638697841967
0,0.0,20,VI,45,3.193852066568651e-07
0,0.0,20,VI,46,0.00015555863679333424
0,0.0,20,VI,47,0.00022783891971641984
0,0.0,20,VI,48,3.1224892613299814e-05
0,0.0,20,VI,49,0.0006584483133339034
0,0.0,30,SUB,0,0.02011917367346386
0,0.0,30,SUB,1,0.025609842792806637
0,0.0,30,SUB,2,0.01853606178511943
0,0.0,30,SUB,3,0.01811123746134256
0,0.0,30,SUB,4,0.03632141509230872
0,0.0,30,SUB,5,0.009359068483277442
0,0.0,30,SUB,6,0.015621484041585984
0,0.0,30,SUB,7,0.012010002093957849
0,0.0,30,SUB,8,0.0162859568931542
0,0.0,30,SUB,9,0.018776753667874783
0,0.0,30,SUB,10,0.019932849323751355
0,0.0,30,SUB,11,0.03485644088210639
0,0.0,30,SUB,12,0.015277674256983923
0,0.0,30,SUB,13,0.015482599385551389
0,0.0,30,SUB,14,0.032464856470800954
0,0.0,30,SUB,15,0.033174235010986264
0,0.0,30,SUB,16,0.014713640338829997
0,0.0,30,SUB,17,0.014867539897368064
0,0.0,30,SUB,18,0.013776660427500772
0,0.0,30,SUB,19,0.011155591093341513
0,0.0,30,SUB,20,0.027223097824636527
0,0.0,30,SUB,21,0.03387821898938293
0,0.0,30,SUB,22,0.017397026492558892
0,0.0,30,SUB,23,0.014986027245509815
0,0.0,30,SUB,24,0.017432783990670737
0,0.0,30,SUB,25,0.017094616270718337
0,0.0,30,SUB,26,0.015979810416575518
0,0.0,30,SUB,27,0.014510560231030112
0,0.0,30,SUB,28,0.029318039837940263
0,0.0,30,SUB,29,0.04048412435990322
0,0.0,30,SUB,30,0.019481457100152335
0,0.0,30,SUB,31,0.015426767611953315
0,0.0,30,SUB,32,0.01689837101140355
0,0.0,30,SUB,33,0.00926584710494594
0,0.0,30,SUB,34,0.021473984013619257
0,0.0,30,SUB,35,0.039618297174378876
0,0.0,30,SUB,36,0.0223803349640849
0,0.0,30,SUB,37,0.013208894523106201
0,0.0,30,SUB,38,0.03870974595027318
0,0.0,30,SUB,39,0.01603418680369917
0,0.0,30,VI,0,1.965924187680908e-05
0,0.0,30,VI,1,8.435989860512462e-07
0,0.0,30,VI,2,1.365256357544669e-06
0,0.0,30,VI,3,0.0038526099548754655
0,0.0,30,VI,4,6.291563681750311e-07
0,0.0,30,VI,5,0.0023865705050283613
0,0.0,30,VI,6,1.0143410771211941e-06
0,0.0,30,VI,7,1.1685475074851336e-06
0,0.0,30,VI,8,0.003546881885553112
0,0.0,30,VI,9,0.0074430248152758385
0,0.0,30,VI,10,0.0007099164931552453
0,0.0,30,VI,11,0.006018315172972035
0,0.0,30,VI,12,0.0002117228284971769
0,0.0,30,VI,13,1.1769285479485722e-05
0,0.0,30,VI,14,1.4354907479884706e-06
0,0.0,30,VI,15,0.007193009325856511
0,0.0,30,VI,16,0.00021132489797794806
0,0.0,30,VI,17,1.539368797202616e-06
0,0.0,30,VI,18,0.004296745165725458
0,0.0,30,VI,19,8.40781144199536e-07
0,0.0,30,VI,20,9.412515292196427e-05
0,0.0,30,VI,21,4.745575594530897e-05
0,0.0,30,VI,22,0.000219213184541259
0,0.0,30,VI,23,1.0115647108401469e-06
0,0.0,30,VI,24,0.007988222894889645
0,0.0,30,VI,25,6.216409683235407e-07
0,0.0,30,VI,26,0.001014047377099032
0,0.0,30,VI,27,0.0032432675218961792
0,0.0,30,VI,28,6.833599949444733e-07
0,0.0,30,VI,29,0.005034353258454616
0,0.0,30,VI,30,1.5031503729396901e-06
0,0.0,30,VI,31,0.0038190167058389846
0,0.0,30,VI,32,0.0004743933501105024
0,0.0,30,VI,33,0.00010848834180466718
0,0.0,30,VI,34,5.578481628901846e-07
0,0.0,30,VI,35,1.4048959175102876e-06
0,0.0,30,VI,36,6.432252948943447e-07
0,0.0,30,VI,37,1.314299160377635e-06
0,0.0,30,VI,38,9.90234276494296e-05
0,0.0,30,VI,39,1.4045594498915088e-06
0,0.5,2,SUB,0,0.6940230907209517
0,0.5,2,SUB,1,0.6134665009980166
0,0.5,2,SUB,2,0.6912271990260012
0,0.5,2,SUB,3,0.5035321952428846
0,0.5,2,SUB,4,0.7323622052601259
0,0.5,2,SUB,5,0.5440727738530515
0,0.5,2,SUB,6,0.8578168050073971
0,0.5,2,SUB,7,0.3538018585699342
0,0.5,2,SUB,8,0.6530290897897656
0,0.5,2,SUB,9,0.39419383190834506
0,0.5,2,SUB,10,0.7385382009127707
0,0.5,2,SUB,11,0.6765244192710853
0,0.5,2,SUB,12,0.6015253843260339
0,0.5,2,SUB,13,0.38188172313955043
0,0.5,2,SUB,14,0.6045389081106098
0,0.5,2,SUB,15,0.6971725780784129
0,0.5,2,SUB,16,0.44718357721293256
0,0.5,2,SUB,17,0.90706361126901
0,0.5,2,SUB,18,0.2831629021975702
0,0.5,2,SUB,19,0.7097685043794755
0,0.5,2,SUB,20,0.7858486214763242
0,0.5,2,SUB,21,0.7305511944647143
0,0.5,2,SUB,22,1.0156023031326111
0,0.5,2,SUB,23,0.7548719939210679
0,0.5,2,SUB,24,0.9854428335488112
0,0.5,2,SUB,25,0.8880146663172442
0,0.5,2,SUB,26,0.6078837138660594
0,0.5,2,SUB,27,0.6335976681866583
0,0.5,2,SUB,28,0.6181029117517272
0,0.5,2,SUB,29,0.7373286254266738
0,0.5,2,SUB,30,0.8076312653159261
0,0.5,2,SUB,31,0.8044109854847701
0,0.5,2,SUB,32,0.7299102864076169
0,0.5,2,SUB,33,0.6929028646598703
0,0.5,2,SUB,34,0.6336284948792131
0,0.5,2,SUB,35,0.44150361335799876
0,0.5,2,SUB,36,0.749603352699
