game,eta,n_train,method,test_median
7,0.5,10,VI,1.9085406100791236
7,0.5,20,SUB,0.190692894083466
7,0.5,20,VI,1.922012151926102
7,0.5,30,SUB,0.17713621265772556
7,0.5,30,VI,1.9219868686009736
8,0.0,2,SUB,0.10913082717262547
8,0.0,2,VI,0.10161681733971564
8,0.0,5,SUB,0.20865351969840426
8,0.0,5,VI,0.008169833800882473
8,0.0,10,SUB,0.016423091924677613
8,0.0,10,VI,4.734588024952658e-06
8,0.0,20,SUB,0.012496251435280162
8,0.0,20,VI,2.7144355406054346e-07
8,0.0,30,SUB,0.010867496875592748
8,0.0,30,VI,4.925048289060518e-05
8,0.5,2,SUB,0.8505866602681804
8,0.5,2,VI,1.3925452098628472
8,0.5,5,SUB,0.33858380550298
8,0.5,5,VI,2.016636597850165
8,0.5,10,SUB,0.2585648486270822
8,0.5,10,VI,2.0208809571005517
8,0.5,20,SUB,0.18483343970628413
8,0.5,20,VI,1.9766080547163964
8,0.5,30,SUB,0.16601126462248172
8,0.5,30,VI,2.0668137731631537
9,0.0,2,SUB,0.4191601164279079
9,0.0,2,VI,0.3128851734610222
9,0.0,5,SUB,0.08214288787519336
9,0.0,5,VI,0.03252288687859027
9,0.0,10,SUB,0.01937530272437006
9,0.0,10,VI,9.975204126376279e-06
9,0.0,20,SUB,0.022088502560720067
9,0.0,20,VI,0.00011938446131268255
9,0.0,30,SUB,0.014391962093682657
9,0.0,30,VI,5.586188313148574e-07
9,0.5,2,SUB,0.6786369647040762
9,0.5,2,VI,0.8063187924604267
9,0.5,5,SUB,0.47960800320075153
9,0.5,5,VI,2.0518130584172134
9,0.5,10,SUB,0.20289477460841254
9,0.5,10,VI,2.07332949947034
9,0.5,20,SUB,0.20362856011846478
9,0.5,20,VI,2.0535347329744664
9,0.5,30,SUB,0.18618152932275045
9,0.5,30,VI,2.045200606407855
