game,eta,method,test_median,theta_err,time,mu,L,lambda_min_M
2,0.01,VI,0.007874019728674575,0.6029371243388363,0.05957020801724866,0.7744101789257121,1.7317596779231685,0.2718502370220793
2,0.05,SUB,0.04110530778758187,0.366931340479711,1.0905069159925915,0.7744101789257121,1.7317596779231685,0.2718502370220793
2,0.05,VI,2.0397389387069533,1.022318888163236,0.061754208989441395,0.7744101789257121,1.7317596779231685,0.2718502370220793
2,0.1,SUB,0.07037780259634796,0.3670450773774903,1.0410221659985837,0.7744101789257121,1.7317596779231685,0.2718502370220793
2,0.1,VI,1.9490706118114696,1.0223167211683888,0.0498929170134943,0.7744101789257121,1.7317596779231685,0.2718502370220793
2,0.3,SUB,0.12824436887283439,0.37406071196333096,1.041687290999107,0.7744101789257121,1.7317596779231685,0.2718502370220793
2,0.3,VI,1.9515866171397698,1.0223191039905788,0.052072917023906484,0.7744101789257121,1.7317596779231685,0.2718502370220793
2,0.5,SUB,0.17436566442969736,0.39353238427405224,1.0375144590216223,0.7744101789257121,1.7317596779231685,0.2718502370220793
2,0.5,VI,1.9527309734578888,1.022316683645933,0.05612749999272637,0.7744101789257121,1.7317596779231685,0.2718502370220793
2,0.7,SUB,0.2609156231793063,0.432281624476488,1.0471612499968614,0.7744101789257121,1.7317596779231685,0.2718502370220793
2,0.7,VI,1.951829541420956,1.022319001620383,0.05835554201621562,0.7744101789257121,1.7317596779231685,0.2718502370220793
2,0.9,SUB,0.302595217893179,0.4805517340826121,1.0414392079983372,0.7744101789257121,1.7317596779231685,0.2718502370220793
2,0.9,VI,1.9189173800852366,1.0223146927630986,0.04921216698130593,0.7744101789257121,1.7317596779231685,0.2718502370220793
2,1.0,SUB,0.3490541750847522,0.47902796950393606,1.0335493340098765,0.7744101789257121,1.7317596779231685,0.2718502370220793
2,1.0,VI,2.0128008052029953,1.0223194684129429,0.06542912501026876,0.7744101789257121,1.7317596779231685,0.2718502370220793
