game,eta,method,sample,error
0,0.3,SUB,11,0.11425668381013704
0,0.3,SUB,12,0.14466602213390978
0,0.3,SUB,13,0.10939193019346084
0,0.3,SUB,14,0.12557462786163823
0,0.3,SUB,15,0.13705303340001282
0,0.3,SUB,16,0.13530712895315722
0,0.3,SUB,17,0.13189102597315525
0,0.3,SUB,18,0.13124646806651127
0,0.3,SUB,19,0.1534309455128542
0,0.3,SUB,20,0.12838161374645818
0,0.3,SUB,21,0.11830592995236194
0,0.3,SUB,22,0.15092444438325855
0,0.3,SUB,23,0.12289090657173736
0,0.3,SUB,24,0.08128356214610483
0,0.3,SUB,25,0.12555205542120795
0,0.3,SUB,26,0.1440167801686237
0,0.3,SUB,27,0.12786247657779154
0,0.3,SUB,28,0.10743317883435952
0,0.3,SUB,29,0.13869158780097932
0,0.3,SUB,30,0.1761798661902014
0,0.3,SUB,31,0.15797446210465863
0,0.3,SUB,32,0.12813691653805456
0,0.3,SUB,33,0.13289259056280792
0,0.3,SUB,34,0.08112098062077981
0,0.3,SUB,35,0.09115853848088903
0,0.3,SUB,36,0.09707868654857926
0,0.3,SUB,37,0.15533866155381143
0,0.3,SUB,38,0.10672832784026981
0,0.3,SUB,39,0.1436156249243635
0,0.3,SUB,40,0.09197029402947907
0,0.3,SUB,41,0.15843177397661287
0,0.3,SUB,42,0.11680061381449282
0,0.3,SUB,43,0.1280585590457651
0,0.3,SUB,44,0.19423291262765097
0,0.3,SUB,45,0.1436856835964545
0,0.3,SUB,46,0.09011164849694918
0,0.3,SUB,47,0.13974292409600336
0,0.3,SUB,48,0.0839613376625094
0,0.3,SUB,49,0.18154421161033257
0,0.3,VI,0,2.0529915257437663
0,0.3,VI,1,2.2747684806143305
0,0.3,VI,2,2.267088679796962
0,0.3,VI,3,2.0879796093750844
0,0.3,VI,4,2.249137167279891
0,0.3,VI,5,2.2683024165598633
0,0.3,VI,6,2.0837815018665786
0,0.3,VI,7,2.2355989057050336
0,0.3,VI,8,2.0859325530382167
0,0.3,VI,9,1.9182456679463704
0,0.3,VI,10,1.9788563521631566
0,0.3,VI,11,1.1947392571542959
0,0.3,VI,12,2.0564996121813115
0,0.3,VI,13,2.7303367378546928
0,0.3,VI,14,1.9579882395266945
0,0.3,VI,15,1.7945433365974828
0,0.3,VI,16,2.029186155167474
0,0.3,VI,17,2.6167988901884827
0,0.3,VI,18,2.1270220523238357
0,0.3,VI,19,2.0701463037473626
0,0.3,VI,20,1.78774266346364
0,0.3,VI,21,2.406225318228792
0,0.3,VI,22,1.481133918490857
0,0.3,VI,23,1.6350402732645843
0,0.3,VI,24,2.1367905551975337
0,0.3,VI,25,2.065438275717368
0,0.3,VI,26,1.8557847225167097
0,0.3,VI,27,1.8682403883050211
0,0.3,VI,28,2.218278338231535
0,0.3,VI,29,1.4903355081643508
0,0.3,VI,30,1.563664803618856
0,0.3,VI,31,1.857821089428974
0,0.3,VI,32,2.24119319480277
0,0.3,VI,33,1.4011727825751565
0,0.3,VI,34,1.992242353549932
0,0.3,VI,35,2.0747091283590446
0,0.3,VI,36,1.9002461176329537
0,0.3,VI,37,1.6489433355569005
0,0.3,VI,38,1.7250659375948525
0,0.3,VI,39,2.003033594040647
0,0.3,VI,40,2.018857176344762
0,0.3,VI,41,2.1826815769591517
0,0.3,VI,42,1.7712860363305216
0,0.3,VI,43,2.0361861099356444
0,0.3,VI,44,2.081182701780095
0,0.3,VI,45,1.9777240989021798
0,0.3,VI,46,2.116451684458387
0,0.3,VI,47,1.702435450399145
0,0.3,VI,48,1.953765441881159
0,0.3,VI,49,2.061680794127195
0,0.5,SUB,0,0.12915983590035443
0,0.5,SUB,1,0.1498578563984889
0,0.5,SUB,2,0.1712364631797171
0,0.5,SUB,3,0.16832489726968003
0,0.5,SUB,4,0.18104883843130415
0,0.5,SUB,5,0.1596265510161552
0,0.5,SUB,6,0.14779995664341336
0,0.5,SUB,7,0.17508454852558888
0,0.5,SUB,8,0.15820067670403537
0,0.5,SUB,9,0.17190741064213982
0,0.5,SUB,10,0.15466870628830573
0,0.5,SUB,11,0.1629353800037172
0,0.5,SUB,12,0.14738079191571643
0,0.5,SUB,13,0.1656680053252436
0,0.5,SUB,14,0.1655877373636881
0,0.5,SUB,15,0.1334917615571409
0,0.5,SUB,16,0.16103020248816305
0,0.5,SUB,17,0.18601754767014986
0,0.5,SUB,18,0.1762553580106838
0,0.5,SUB,19,0.15084602880940465
0,0.5,SUB,20,0.16997058571138718
0,0.5,SUB,21,0.15458624710353844
0,0.5,SUB,22,0.16796895231533798
0,0.5,SUB,23,0.16376862907922524
0,0.5,SUB,24,0.15658059305891062
0,0.5,SUB,25,0.16344975526888536
0,0.5,SUB,26,0.20133492401538436
0,0.5,SUB,27,0.15407544012206284
0,0.5,SUB,28,0.13574719653780093
0,0.5,SUB,29,0.13388848035654272
0,0.5,SUB,30,0.13051251478683779
0,0.5,SUB,31,0.13183965349579457
0,0.5,SUB,32,0.1603971921641377
0,0.5,SUB,33,0.13793359326166058
0,0.5,SUB,34,0.1826658139049936
0,0.5,SUB,35,0.13800794232539
0,0.5,SUB,36,0.15580764388562415
0,0.5,SUB,37,0.14590401532543443
0,0.5,SUB,38,0.18813311254284237
0,0.5,SUB,39,0.14383626578086417
0,0.5,SUB,40,0.10574422033654027
0,0.5,SUB,41,0.13674208135625626
0,0.5,SUB,42,0.1564141921168885
0,0.5,SUB,43,0.1432032523929074
0,0.5,SUB,44,0.1578110673729533
0,0.5,SUB,45,0.16600464988464828
0,0.5,SUB,46,0.1294339140934305
0,0.5,SUB,47,0.13711778341083564
0,0.5,SUB,48,0.15145681694139104
0,0.5,SUB,49,0.16914503316099674
0,0.5,VI,0,1.900134564724013
0,0.5,VI,1,2.1366047313792618
0,0.5,VI,2,1.9579410378789714
0,0.5,VI,3,1.1947010829574867
0,0.5,VI,4,2.0029754382765717
0,0.5,VI,5,2.0360065832724974
0,0.5,VI,6,1.4154445616470899
0,0.5,VI,7,1.848873380409479
0,0.5,VI,8,2.119152568227921
0,0.5,VI,9,1.648821669183518
0,0.5,VI,10,1.9180318439620845
0,0.5,VI,11,1.9776209372105524
0,0.5,VI,12,2.579727319856035
0,0.5,VI,13,1.8577694257125918
0,0.5,VI,14,1.9787791698393882
0,0.5,VI,15,2.2670416933332813
0,0.5,VI,16,2.126921878807826
0,0.5,VI,17,2.2078923247896607
0,0.5,VI,18,2.2746531524604463
0,0.5,VI,19,2.250091305393198
0,0.5,VI,20,1.6226145347528442
0,0.5,VI,21,2.21689374055927
0,0.5,VI,22,1.7247568584035207
0,0.5,VI,23,1.7408388320895725
0,0.5,VI,24,1.5156743513006836
0,0.5,VI,25,1.4811037454182416
0,0.5,VI,26,2.3598722776215872
